Fecha,Estacion,pH,OD,Turbidez,Conductividad,Nitratos
2021-01-01,E04,7.62,7.12,15.3,419.0,1.45
2021-01-01,E07,7.13,6.54,18.2,784.0,6.21
2021-01-02,E03,7.42,7.28,9.6,367.1,1.6
2021-01-02,E04,7.48,7.71,14.0,398.0,0.79
2021-01-03,E02,7.71,8.57,12.9,287.6,0.57
2021-01-03,E03,7.51,8.14,13.6,421.5,1.18
2021-01-04,E03,7.76,8.6,14.2,399.8,1.48
2021-01-04,E03,7.43,7.96,15.3,366.8,1.33
2021-01-04,E08,6.9,5.15,17.8,850.6,8.96
2021-01-05,E02,7.88,7.61,18.5,286.6,0.78
2021-01-05,E06,7.18,6.98,15.5,576.7,3.96
2021-01-06,E01,8.02,8.24,10.6,271.9,1.05
2021-01-06,E02,7.58,7.75,11.0,314.7,0.05
2021-01-06,E03,7.47,7.28,12.8,390.7,1.93
2021-01-08,E01,7.48,8.74,11.2,239.1,0.33
2021-01-08,E03,7.57,6.72,17.2,363.2,1.55
2021-01-08,E03,7.76,8.12,18.3,409.3,1.25
2021-01-09,E02,8.03,8.4,13.1,374.8,0.05
2021-01-09,E04,7.71,6.79,12.2,476.9,1.78
2021-01-09,E06,7.39,6.28,13.4,624.2,5.14
2021-01-10,E08,7.12,4.08,17.5,905.1,9.4
2021-01-10,E08,6.88,5.02,19.2,892.4,9.09
2021-01-11,E04,7.78,7.14,16.2,435.8,1.03
2021-01-11,E08,6.85,5.87,15.7,920.1,8.5
2021-01-11,E08,7.12,5.07,19.9,839.2,8.84
2021-01-12,E02,7.35,8.49,16.9,358.7,1.17
2021-01-12,E04,7.38,6.85,14.1,490.6,1.67
2021-01-12,E06,6.98,5.27,16.7,642.8,4.0
2021-01-13,E05,7.52,5.59,18.9,515.9,2.55
2021-01-14,E01,7.83,7.83,11.3,227.9,0.12
2021-01-14,E02,7.56,8.12,12.8,289.5,0.87
2021-01-14,E07,7.21,5.67,19.1,774.7,6.12
2021-01-14,E08,7.13,5.63,11.2,963.6,9.15
2021-01-15,E05,7.04,6.34,16.2,518.5,2.26
2021-01-16,E03,7.76,7.01,10.3,396.1,0.4
2021-01-16,E07,6.85,6.43,15.2,706.2,5.93
2021-01-16,E07,7.21,5.83,14.1,709.9,5.38
2021-01-16,E08,7.39,4.79,20.9,906.0,9.57
2021-01-16,E08,7.24,5.41,17.1,910.8,9.14
2021-01-17,E02,7.67,8.6,10.4,329.1,0.57
2021-01-17,E08,7.34,5.77,22.7,951.1,9.26
2021-01-18,E03,7.69,7.09,8.3,280.9,1.48
2021-01-18,E03,7.55,8.23,10.9,367.5,1.53
2021-01-18,E05,7.28,7.09,15.0,578.6,2.32
2021-01-18,E08,6.7,4.99,16.8,866.5,8.99
2021-01-19,E01,7.85,8.44,13.9,311.7,0.05
2021-01-19,E03,7.64,7.37,12.6,451.6,1.24
2021-01-19,E04,7.37,6.43,14.7,433.1,1.22
2021-01-19,E04,7.53,7.57,15.6,446.1,1.36
2021-01-19,E06,7.35,6.26,19.2,648.8,3.28
2021-01-19,E08,7.47,4.69,17.5,924.2,9.2
2021-01-21,E01,7.64,8.01,8.8,220.8,0.55
2021-01-22,E01,7.97,8.38,13.3,319.9,0.57
2021-01-22,E04,7.21,7.77,15.0,553.8,1.44
2021-01-23,E01,7.88,7.95,14.6,319.4,0.05
2021-01-23,E04,7.58,5.55,16.4,541.8,0.77
2021-01-23,E05,7.34,6.96,25.6,522.9,2.69
2021-01-23,E06,7.4,5.72,16.8,626.2,4.01
2021-01-23,E08,7.4,5.66,21.8,951.5,9.79
