Fecha,Estacion,NombreEstacion,Latitud,Longitud,pH,OD,Turbidez,Conductividad,Nitratos,DBO5,Fosfatos,Arsenico,Precipitacion_mm,Temperatura_Aire_C,ICA,Categoria_ICA
2021-01-01,CH-08,Vitor,-16.56,-71.78,7.33,5.74,20.9,872.8,6.85,6.12,0.663,0.0083,58.2,17.7,49,Mala
2021-01-01,CH-03,Puente Grau,-16.3984,-71.5373,7.58,6.99,12.2,455.4,2.18,2.02,0.144,0.0034,56.2,18.7,77,Buena
2021-01-02,CH-05,Tingo,-16.4305,-71.555,7.56,6.21,13.8,608.0,5.04,3.25,0.359,0.0063,45.2,16.9,67,Regular
2021-01-02,CH-06,Tiabaya,-16.468,-71.584,7.65,6.35,19.5,749.1,5.04,4.02,0.353,0.0056,40.2,12.6,58,Regular
2021-01-02,CH-07,Uchumayo,-16.504,-71.65,7.59,5.34,19.3,825.0,6.66,4.18,0.498,0.0079,39.0,12.4,55,Regular
2021-01-03,CH-06,Tiabaya,-16.468,-71.584,7.07,6.66,18.5,647.0,5.82,5.15,0.525,0.0073,57.2,13.5,56,Regular
2021-01-03,CH-08,Vitor,-16.56,-71.78,7.36,5.37,23.2,849.1,7.28,4.82,0.67,0.0083,40.0,11.1,48,Mala
2021-01-04,CH-08,Vitor,-16.56,-71.78,7.18,4.96,17.7,940.0,7.54,5.55,0.689,0.0084,49.0,19.6,53,Regular
2021-01-04,CH-08,Vitor,-16.56,-71.78,7.31,5.5,24.0,902.1,7.81,6.65,0.692,0.0076,39.5,15.1,42,Mala
2021-01-05,CH-06,Tiabaya,-16.468,-71.584,7.04,6.12,15.2,685.8,5.27,3.62,0.481,0.0066,29.1,22.1,64,Regular
2021-01-05,CH-01,Charcani,-16.357,-71.546,7.6,9.05,9.1,278.0,0.25,1.07,0.134,0.0032,39.5,13.3,86,Buena
2021-01-06,CH-07,Uchumayo,-16.504,-71.65,7.06,6.63,22.3,780.6,7.02,4.12,0.494,0.0072,48.3,5.5,51,Regular
2021-01-06,CH-06,Tiabaya,-16.468,-71.584,7.47,5.9,12.6,699.3,5.23,3.98,0.517,0.0074,54.8,15.2,66,Regular
2021-01-06,CH-04,Puente Bolognesi,-16.4018,-71.534,7.72,7.47,15.2,547.9,3.22,2.74,0.229,0.0036,48.8,12.2,70,Regular
2021-01-06,CH-03,Puente Grau,-16.3984,-71.5373,7.48,7.39,14.1,336.8,2.9,1.35,0.343,0.0035,44.0,15.8,75,Buena
2021-01-07,CH-06,Tiabaya,-16.468,-71.584,7.45,6.09,17.2,687.8,6.08,3.66,0.484,0.0065,58.8,14.2,60,Regular
2021-01-07,CH-07,Uchumayo,-16.504,-71.65,7.15,6.26,13.9,809.3,6.76,4.41,0.647,0.007,54.2,11.9,61,Regular
2021-01-09,CH-08,Vitor,-16.56,-71.78,7.21,5.07,14.5,886.4,7.59,5.94,0.69,0.0079,40.3,11.8,56,Regular
2021-01-09,CH-07,Uchumayo,-16.504,-71.65,7.34,5.52,14.3,759.0,6.22,4.02,0.636,0.0065,57.9,12.4,62,Regular
2021-01-10,CH-04,Puente Bolognesi,-16.4018,-71.534,7.93,7.94,17.4,492.0,3.88,3.96,0.301,0.004,39.5,14.3,63,Regular
2021-01-10,CH-07,Uchumayo,-16.504,-71.65,7.02,6.22,17.0,814.3,6.7,5.09,0.579,0.007,25.1,17.0,56,Regular
2021-01-10,CH-01,Charcani,-16.357,-71.546,7.72,8.4,12.4,225.6,0.31,0.96,0.117,0.0016,26.3,14.4,83,Buena
2021-01-11,CH-02,Chilina,-16.3815,-71.5295,7.81,7.73,6.6,377.3,1.11,1.76,0.145,0.0038,64.3,12.4,86,Buena
2021-01-11,CH-01,Charcani,-16.357,-71.546,7.77,7.98,7.9,267.0,0.97,0.5,0.105,0.0029,43.7,12.6,88,Buena
2021-01-11,CH-08,Vitor,-16.56,-71.78,7.39,5.13,21.8,864.0,7.22,6.26,0.52,0.0061,48.3,19.3,47,Mala
2021-01-11,CH-06,Tiabaya,-16.468,-71.584,7.47,6.94,15.2,763.0,5.56,4.66,0.499,0.0059,45.5,17.2,61,Regular
2021-01-11,CH-04,Puente Bolognesi,-16.4018,-71.534,7.28,6.99,17.1,493.6,2.95,2.84,0.295,0.0036,54.3,14.6,68,Regular
2021-01-12,CH-07,Uchumayo,-16.504,-71.65,7.25,6.4,18.3,804.2,5.79,6.08,0.559,0.0069,40.4,17.8,54,Regular
2021-01-12,CH-05,Tingo,-16.4305,-71.555,7.23,6.7,19.6,649.2,3.97,3.85,0.402,0.0054,18.1,17.9,61,Regular
2021-01-12,CH-07,Uchumayo,-16.504,-71.65,7.19,5.92,19.6,716.7,6.95,4.44,0.468,0.0074,61.8,11.4,54,Regular
2021-01-12,CH-03,Puente Grau,-16.3984,-71.5373,7.5,7.94,12.1,454.7,2.46,3.65,0.315,0.0026,69.0,16.2,73,Buena
2021-01-13,CH-05,Tingo,-16.4305,-71.555,7.96,6.09,17.6,649.6,4.37,3.22,0.383,0.0052,46.5,14.1,64,Regular
2021-01-13,CH-04,Puente Bolognesi,-16.4018,-71.534,7.49,7.42,16.9,580.9,3.93,3.93,0.298,0.005,29.5,14.7,64,Regular
2021-01-13,CH-01,Charcani,-16.357,-71.546,7.71,8.5,9.0,289.2,0.78,2.71,0.192,0.0031,46.9,15.2,82,Buena
2021-01-14,CH-04,Puente Bolognesi,-16.4018,-71.534,7.24,7.66,17.6,520.7,3.57,2.79,0.275,0.0059,53.9,13.2,66,Regular
